Block,Block Time,Transaction,Side,Account,Amount Base,Amount Quote,Volume Buy,Volume Sell,Internal Realized PnLs,External Realized PnLs,Unrealized PnLs,Open Interest,Prices
18729484,2023-12-06T19:54:11Z,0x9a200d12e6a4f9885249c725fdbe8020dda4dd2d96cf045847bec63ba67d0a47,Sell,0xaf50afe73c026c9fa06dc26306d73a25d5766793,403750,0.02013296672908607,0,403750,0,0.02013296672908607,0,0,0.00000004986493307513578
18729484,2023-12-06T19:54:11Z,0x9a200d12e6a4f9885249c725fdbe8020dda4dd2d96cf045847bec63ba67d0a47,Buy,0xaf50afe73c026c9fa06dc26306d73a25d5766793,500000,0.025081496051043855,500000,0,0,0,0,500000,0.00000005016299210208771
18729484,2023-12-06T19:54:11Z,0x9a200d12e6a4f9885249c725fdbe8020dda4dd2d96cf045847bec63ba67d0a47,Buy,0xaf50afe73c026c9fa06dc26306d73a25d5766793,500000000,33.43743427793453,500000000,0,0,0,0.008355938226890677,500500000,0.00000006687486855586906
18729485,2023-12-06T19:54:23Z,0x6b4c167d1abfdddf8b270cee41c66479e5109e8b07ad518b625f93fca16d29cc,Sell,0xaf50afe73c026c9fa06dc26306d73a25d5766793,403750,0.06265178785189714,0,403750,0.042398479790679226,0,44.16002647656311,500096250,0.00000015517470675392479
18729485,2023-12-06T19:54:23Z,0xf72605c6179d2f150972f8f4a4856b37172b31dd5ff0dc5c5e7a4c8624ef9712,Buy,0xc836145c8e0bd22e755017fb8fd71ad91bb3c834,1294934.668663704,0.2,1294934.668663704,0,0,0,43.79657623411135,501391184.6686637,0.0000001544479461704336
18729485,2023-12-06T19:54:23Z,0x88ff79b2a57c61475763a54482b2c7a26afb7d3692a7dc745c104a40e2c09c10,Buy,0xe21c7e76ab3ff78cd481e37c552043f39408ccc2,786903.733618922,0.1188,786903.733618922,0,0,0,42.05349318222871,502178088.4022826,0.00000015097145295479296
18729485,2023-12-06T19:54:23Z,0xae240c633851d14c6a6e447cd1a4add02b20701bccd4b3818d487736718efcc9,Buy,0xc7768271c6e457f9a75984a693bdee567f8c5dc5,65623.800639879,0.0099,65623.800639879,0,0,0,41.99747371616662,502243712.20292246,0.00000015085989996720577
18729485,2023-12-06T19:54:23Z,0xdcbd078ab75b450d8dab49778a8a9c096439771a1e3f950d69ede28d7da07a56,Buy,0x62ebaab7534836c992b3638b3c5ce257e7190b99,93014007.03204544,9.9,93014007.03204544,0,0,0,19.68563949614242,595257719.2349681,0.00000010643558229449491
18729485,2023-12-06T19:54:23Z,0x4c2569a294ca661544444f7fa37b3b575bc76db287b402c89b3041d9a1080768,Buy,0x24617fdaedf03263a095fc651011953ecb059a12,647543.136702033,0.099,647543.136702033,0,0,0,47.33535180743457,595905262.3716701,0.00000015288556759973022
18729485,2023-12-06T19:54:23Z,0x644cae2c2cc33b7123a42238856f7d2ba1276968300e3b696f8889779e40db36,Buy,0x68a1a4291378b595a564e6feba84806d9817c72d,962186.181335379,0.15,962186.181335379,0,0,0,49.128679283113854,596867448.5530055,0.00000015589498468146892
18729485,2023-12-06T19:54:23Z,0x3ce8d76d7ae51d93d3a13abf0879cb4ca3e7e5a4b1c7d17dffaf43c271099bc6,Buy,0x4e5f2d40d3eb4a39ce1a5c0bd4ee69221b668d3c,62423546.27152109,7.92,62423546.27152109,0,0,0,31.80771522765206,659290994.8245265,0.0000001268752013150728
18729485,2023-12-06T19:54:23Z,0x8f49ac34d86f146061a159356e81d0db37d3773ba0645e1ee4c8314533e0c408,Buy,0xba04a27df6b95b4ef755429d30153473ca11657b,29244385.128405195,2.97,29244385.128405195,0,0,0,15.11628387098148,688535379.9529318,0.00000010155795674825889
18729485,2023-12-06T19:54:23Z,0x9012c704341dda8d91cca6c47c99579e18372a79789b9453f30af8e7b07b014c,Buy,0xfbdd9453aa91b46070db4aeba3ebd6d7143fbaf0,1606567.405643736,0.2475,1606567.405643736,0,0,0,51.262466203863035,690141947.3585755,0.00000015405516079222903
18729485,2023-12-06T19:54:23Z,0xf101094f6da6a0315534b55a27b3cb1bd679fb307e7d6d7b1da21a80a78800a1,Buy,0xac12785bf910513fd47192a34e23d4533312fb46,4086912.270310132,0.495,4086912.270310132,0,0,0,28.531379512465183,694228859.6288856,0.00000012111833268259447
18729485,2023-12-06T19:54:23Z,0xe60e00b962b7ba8437c361a3fb5011bc7199a3ac25384640d1301cd4a846063a,Buy,0xa47bea3bbfc9a9655e1cad064217d7eb0dcdc579,1611104.048552376,0.2475,1611104.048552376,0,0,0,51.09592123873824,695839963.677438,0.00000015362136307855843
18729485,2023-12-06T19:54:23Z,0x01a13225e5c038115e12fc9612d1f55bd84dff456d7ed96a179ec881b6c5d500,Buy,0x44e4d81d8807c4efb5718c468a23484b3a738bc9,20146597.14988052,2.97,20146597.14988052,0,0,0,46.780372900251706,715986560.8273185,0.00000014741943653832448
18729485,2023-12-06T19:54:23Z,0x9257373bd92d19cde1179a294843f58a11a62b8ecd0519ba51f22bd1885cfffc,Buy,0x13647a2bee57b3a3b97571fab8ee7f42e8e5133d,323273.51086258,0.05,323273.51086258,0,0,0,51.97009769503275,716309834.3381811,0.0000001546677915755815
18729485,2023-12-06T19:54:23Z,0xf67991c17c9f2ca5b0d2a21d361e533ae079d2a8effd57d690298882e9e3f5d8,Buy,0x231b186761dfa3b5e735e82a9dc88904c248ec4f,2631104.273252118,0.396,2631104.273252118,0,0,0,48.98978771448551,718940938.611433,0.00000015050714790202253
